Date,temperature,humidity,wind_speed,pressure,Weather Condition
2023-07-13,33.8,79,16.7,1035,Cloudy
2023-07-14,27.7,35,1.7,1006,Stormy
2023-07-15,25.8,81,15.2,1005,Snowy
2023-07-16,35.7,31,11.6,1030,Clear
2023-07-17,8.1,86,16.0,984,Clear
2023-07-18,13.8,47,15.6,1009,Clear
2023-07-19,37.9,61,10.4,984,Snowy
2023-07-20,-0.6,94,5.3,995,Stormy
2023-07-21,5.6,38,9.4,1039,Snowy
2023-07-22,24.8,94,18.8,1001,Stormy
2023-07-23,37.4,85,3.3,985,Stormy
2023-07-24,35.9,32,5.2,990,Stormy
2023-07-25,32.9,30,3.6,992,Overcast
2023-07-26,16.7,94,9.8,986,Partly Cloudy
2023-07-27,6.6,97,12.1,993,Partly Cloudy
2023-07-28,1.1,81,6.7,984,Rainy
2023-07-29,9.5,86,11.4,1045,Snowy
2023-07-30,6.3,69,12.3,1007,Snowy
2023-07-31,9.1,86,8.3,990,Cloudy
2023-08-01,38.8,34,0.6,981,Rainy
2023-08-02,38.7,90,7.1,1035,Rainy
2023-08-03,15.9,63,9.6,1049,Cloudy
2023-08-04,-3.8,31,12.5,1015,Rainy
2023-08-05,-4.5,73,3.1,1022,Stormy
2023-08-06,19.5,50,11.4,1003,Sunny
2023-08-07,23.5,89,6.8,1010,Rainy
2023-08-08,9.4,39,18.2,1017,Sunny
2023-08-09,13.1,87,0.9,989,Snowy
2023-08-10,30.8,43,1.3,992,Stormy
2023-08-11,3.2,86,17.2,997,Sunny
2023-08-12,5.5,66,12.1,1017,Partly Cloudy
2023-08-13,13.6,66,13.5,1033,Cloudy
2023-08-14,25.8,48,0.5,997,Snowy
2023-08-15,2.6,33,9.7,1027,Sunny
2023-08-16,2.6,67,10.5,1015,Stormy
2023-08-17,3.0,42,18.4,1029,Partly Cloudy
2023-08-18,16.4,66,16.9,1021,Stormy
2023-08-19,10.7,94,17.5,1034,Overcast
2023-08-20,32.8,43,2.6,1042,Partly Cloudy
2023-08-21,2.8,78,1.8,1008,Partly Cloudy
2023-08-22,0.6,81,16.4,982,Clear
2023-08-23,7.5,41,2.4,999,Overcast
2023-08-24,35.7,44,0.1,1049,Snowy
2023-08-25,4.6,68,1.2,1039,Sunny
2023-08-26,39.8,30,7.1,1046,Partly Cloudy
2023-08-27,17.0,68,3.8,992,Overcast
2023-08-28,19.2,94,17.3,1038,Snowy
2023-08-29,37.0,76,0.3,1012,Sunny
2023-08-30,-0.4,86,7.7,1035,Snowy
2023-08-31,12.2,40,8.7,1036,Sunny
2023-09-01,23.8,71,18.4,1014,Partly Cloudy
2023-09-02,21.9,66,6.3,1021,Rainy
2023-09-03,32.6,35,9.9,1016,Sunny
2023-09-04,29.0,96,4.6,992,Stormy
2023-09-05,26.8,34,8.6,1029,Stormy
2023-09-06,40.0,81,8.6,1040,Sunny
2023-09-07,12.7,87,16.6,1039,Cloudy
2023-09-08,16.8,49,0.7,1050,Partly Cloudy
2023-09-09,22.9,100,14.4,989,Partly Cloudy
2023-09-10,15.2,55,7.3,1035,Snowy
2023-09-11,-1.2,66,6.2,987,Snowy
2023-09-12,13.8,52,9.5,987,Rainy
2023-09-13,31.5,51,7.0,992,Cloudy
2023-09-14,25.8,99,11.4,1009,Clear
2023-09-15,-2.1,33,7.2,996,Clear
2023-09-16,1.8,63,2.3,985,Rainy
2023-09-17,9.6,72,13.3,1018,Partly Cloudy
2023-09-18,8.5,73,14.2,993,Partly Cloudy
2023-09-19,35.9,33,13.7,1038,Rainy
2023-09-20,21.8,87,4.6,1020,Cloudy
2023-09-21,17.9,51,0.2,985,Stormy
2023-09-22,33.9,53,1.0,1015,Partly Cloudy
2023-09-23,-3.8,34,10.6,1036,Stormy
2023-09-24,29.4,69,14.3,1015,Snowy
2023-09-25,0.2,43,7.6,996,Cloudy
2023-09-26,36.5,100,11.2,1045,Partly Cloudy
2023-09-27,6.1,53,1.0,988,Partly Cloudy
2023-09-28,21.1,75,5.3,1037,Clear
2023-09-29,15.0,59,11.8,984,Rainy
2023-09-30,33.3,65,10.5,986,Clear
2023-10-01,30.4,70,7.7,1039,Overcast
2023-10-02,23.9,49,10.8,1021,Clear
2023-10-03,33.5,99,13.2,1049,Rainy
2023-10-04,12.7,38,9.0,996,Sunny
2023-10-05,30.8,66,6.0,1026,Overcast
2023-10-06,7.5,59,11.2,1033,Cloudy
2023-10-07,-0.9,91,16.3,1025,Snowy
2023-10-08,-1.6,74,6.6,1030,Overcast
2023-10-09,20.4,90,11.9,1037,Clear
2023-10-10,1.8,83,3.4,999,Clear
2023-10-11,26.3,80,14.8,1038,Cloudy
2023-10-12,0.6,53,11.4,1025,Rainy
2023-10-13,21.4,73,13.7,998,Snowy
2023-10-14,-2.9,80,11.1,1009,Overcast
2023-10-15,-0.9,99,18.8,992,Clear
2023-10-16,18.3,70,3.0,986,Clear
2023-10-17,14.6,47,18.7,1004,Snowy
2023-10-18,36.5,53,3.3,1031,Cloudy
2023-10-19,26.6,63,10.2,1008,Partly Cloudy
2023-10-20,-1.4,76,18.1,1041,Rainy
2023-10-21,6.6,74,10.2,980,Rainy
2023-10-22,13.4,52,17.8,998,Clear
2023-10-23,8.1,30,1.7,1000,Cloudy
2023-10-24,20.6,64,4.1,991,Cloudy
2023-10-25,17.6,50,4.5,1043,Overcast
2023-10-26,31.5,83,4.6,1015,Overcast
2023-10-27,-4.8,60,1.8,1004,Overcast
2023-10-28,11.7,94,12.6,1003,Overcast
2023-10-29,27.0,100,1.5,1024,Rainy
2023-10-30,16.5,48,13.6,1009,Sunny
2023-10-31,12.7,47,10.0,1036,Stormy
2023-11-01,-2.3,66,0.6,1028,Partly Cloudy
2023-11-02,20.0,99,10.8,1016,Partly Cloudy
2023-11-03,7.5,67,9.5,1006,Partly Cloudy
2023-11-04,4.3,62,10.6,1017,Partly Cloudy
2023-11-05,2.6,91,12.7,989,Stormy
2023-11-06,37.4,36,2.3,1045,Clear
2023-11-07,22.9,73,17.8,1013,Partly Cloudy
2023-11-08,-1.6,84,0.1,993,Clear
2023-11-09,20.3,65,4.7,990,Rainy
2023-11-10,16.1,42,17.9,1025,Partly Cloudy
2023-11-11,13.4,40,19.2,990,Rainy
2023-11-12,10.4,75,0.7,1011,Cloudy
2023-11-13,12.4,32,12.1,1021,Rainy
2023-11-14,28.3,35,14.3,1049,Overcast
2023-11-15,5.8,33,10.2,1023,Overcast
2023-11-16,15.4,34,12.9,1035,Overcast
2023-11-17,28.4,69,6.2,992,Sunny
2023-11-18,22.8,81,4.0,982,Clear
2023-11-19,33.3,80,0.4,1029,Snowy
2023-11-20,23.5,68,3.5,983,Clear
2023-11-21,34.8,48,12.9,1040,Sunny
2023-11-22,31.2,89,6.4,985,Clear
2023-11-23,6.1,31,2.2,1012,Snowy
2023-11-24,12.4,53,15.4,1014,Overcast
2023-11-25,31.4,76,9.6,1040,Stormy
2023-11-26,16.6,62,6.2,1037,Partly Cloudy
2023-11-27,21.0,74,0.7,988,Sunny
2023-11-28,2.6,76,11.8,1002,Sunny
2023-11-29,16.4,92,4.3,1001,Overcast
2023-11-30,31.4,100,6.1,983,Sunny
2023-12-01,11.2,42,16.4,1006,Clear
2023-12-02,37.3,91,19.5,1044,Stormy
2023-12-03,19.2,63,2.1,997,Partly Cloudy
2023-12-04,28.2,61,16.8,1028,Rainy
2023-12-05,32.7,34,19.3,1015,Snowy
2023-12-06,15.9,77,14.3,1023,Partly Cloudy
2023-12-07,31.3,45,9.1,1034,Snowy
2023-12-08,33.9,62,4.8,987,Snowy
2023-12-09,31.7,77,9.3,990,Stormy
2023-12-10,33.4,81,4.8,987,Snowy
2023-12-11,34.6,58,9.3,1008,Stormy
2023-12-12,8.6,99,7.9,1015,Overcast
2023-12-13,34.9,67,9.6,1045,Sunny
2023-12-14,13.7,30,13.2,993,Clear
2023-12-15,-2.0,80,6.5,982,Cloudy
2023-12-16,39.8,76,19.7,982,Rainy
2023-12-17,18.9,40,11.1,1008,Partly Cloudy
2023-12-18,2.3,42,15.6,1012,Clear
2023-12-19,-0.7,54,9.2,1026,Sunny
2023-12-20,-4.1,30,12.4,998,Clear
2023-12-21,0.7,97,11.1,1027,Stormy
2023-12-22,39.5,73,5.2,1047,Snowy
2023-12-23,-0.3,93,19.8,1005,Partly Cloudy
2023-12-24,15.0,70,15.0,1036,Overcast
2023-12-25,16.9,99,17.6,1024,Overcast
2023-12-26,17.1,61,19.3,1001,Overcast
2023-12-27,25.4,82,17.4,1025,Stormy
2023-12-28,13.9,37,3.4,1008,Overcast
2023-12-29,30.7,87,4.1,1011,Stormy
2023-12-30,-4.4,81,0.8,1045,Sunny
2023-12-31,-3.6,93,12.8,1012,Rainy
2024-01-01,-3.4,95,2.0,980,Sunny
2024-01-02,23.5,97,12.6,1037,Overcast
2024-01-03,9.3,97,0.1,1017,Partly Cloudy
2024-01-04,-4.0,64,17.6,1038,Snowy
2024-01-05,7.8,84,1.0,1050,Cloudy
2024-01-06,15.1,54,8.7,1000,Clear
2024-01-07,-2.0,95,6.8,985,Clear
2024-01-08,31.0,100,10.6,1005,Partly Cloudy
2024-01-09,31.8,34,15.1,1011,Snowy
2024-01-10,36.8,91,0.8,993,Stormy
2024-01-11,39.2,91,14.9,980,Stormy
2024-01-12,-2.5,62,18.0,1014,Clear
2024-01-13,25.8,94,16.7,1049,Cloudy
2024-01-14,32.5,61,0.8,1016,Sunny
2024-01-15,33.1,41,11.2,1049,Partly Cloudy
2024-01-16,12.4,71,12.2,988,Clear
2024-01-17,19.0,50,0.1,1011,Partly Cloudy
2024-01-18,38.3,35,14.9,1048,Stormy
2024-01-19,34.7,54,10.9,1041,Clear
2024-01-20,-2.2,63,2.3,1050,Overcast
2024-01-21,25.1,69,5.1,1035,Overcast
2024-01-22,5.2,30,17.5,1044,Snowy
2024-01-23,-4.8,97,11.6,1034,Stormy
2024-01-24,3.9,85,12.9,1003,Snowy
2024-01-25,16.0,44,7.8,1048,Rainy
2024-01-26,4.2,76,15.0,1040,Partly Cloudy
2024-01-27,24.9,51,14.2,999,Clear
2024-01-28,17.9,50,10.4,1017,Clear
2024-01-29,-3.4,38,14.8,1010,Stormy
2024-01-30,-2.8,81,13.5,1020,Clear
2024-01-31,8.0,59,14.8,1025,Clear
2024-02-01,31.6,45,0.2,986,Stormy
2024-02-02,20.8,81,9.3,1026,Sunny
2024-02-03,1.3,54,12.2,1005,Sunny
2024-02-04,2.0,88,14.3,1028,Partly Cloudy
2024-02-05,39.9,61,9.7,1047,Clear
2024-02-06,-3.5,37,0.6,985,Rainy
2024-02-07,10.7,82,8.4,1031,Overcast
2024-02-08,36.0,75,3.8,1013,Stormy
2024-02-09,-1.2,79,4.4,993,Rainy
2024-02-10,19.0,79,10.9,1031,Stormy
2024-02-11,28.5,97,8.0,1043,Sunny
2024-02-12,23.2,87,10.8,1034,Partly Cloudy
2024-02-13,12.7,42,3.3,989,Cloudy
2024-02-14,5.4,87,4.5,996,Clear
2024-02-15,10.1,38,2.5,1039,Rainy
2024-02-16,12.8,78,3.2,1035,Partly Cloudy
2024-02-17,37.1,88,3.9,1020,Partly Cloudy
2024-02-18,10.1,87,16.8,1042,Snowy
2024-02-19,11.6,63,6.4,1036,Cloudy
2024-02-20,8.0,42,9.6,1019,Rainy
2024-02-21,27.9,67,17.1,998,Overcast
2024-02-22,-2.0,47,13.8,990,Cloudy
2024-02-23,-4.1,30,11.2,989,Overcast
2024-02-24,7.0,58,4.6,997,Overcast
2024-02-25,34.3,65,9.5,1002,Partly Cloudy
2024-02-26,19.5,96,11.7,1034,Partly Cloudy
2024-02-27,34.9,49,16.6,985,Sunny
2024-02-28,37.7,34,19.9,1035,Stormy
2024-02-29,17.8,77,16.9,987,Snowy
2024-03-01,0.8,91,8.0,1029,Partly Cloudy
2024-03-02,22.9,96,5.8,986,Overcast
2024-03-03,4.6,83,2.7,988,Partly Cloudy
2024-03-04,25.0,38,3.7,1000,Partly Cloudy
2024-03-05,39.6,42,14.2,1034,Sunny
2024-03-06,23.6,45,2.8,1030,Rainy
2024-03-07,6.6,93,4.6,992,Snowy
2024-03-08,17.4,67,14.4,1043,Overcast
2024-03-09,36.5,88,7.8,1005,Sunny
2024-03-10,14.8,93,14.8,1004,Overcast
2024-03-11,13.7,79,2.7,1026,Cloudy
2024-03-12,15.7,89,15.2,1048,Sunny
2024-03-13,13.0,86,6.9,1019,Cloudy
2024-03-14,36.8,84,2.6,1045,Snowy
2024-03-15,12.6,67,11.3,996,Cloudy
2024-03-16,11.8,93,18.5,1048,Clear
2024-03-17,28.9,100,11.3,1042,Stormy
2024-03-18,16.2,85,12.7,1030,Cloudy
2024-03-19,17.0,89,8.9,999,Stormy
2024-03-20,10.3,98,0.4,1050,Snowy
2024-03-21,13.7,63,8.3,1042,Sunny
2024-03-22,39.6,30,5.8,986,Clear
2024-03-23,-4.4,76,17.2,990,Partly Cloudy
2024-03-24,36.6,100,4.1,1045,Partly Cloudy
2024-03-25,15.3,77,6.6,1038,Sunny
2024-03-26,38.8,30,4.3,1016,Overcast
2024-03-27,15.9,35,11.1,986,Partly Cloudy
2024-03-28,7.7,66,11.7,1044,Snowy
2024-03-29,7.7,69,5.6,1026,Overcast
2024-03-30,21.9,75,7.5,1041,Partly Cloudy
2024-03-31,3.1,81,8.3,1023,Rainy
2024-04-01,3.5,80,8.2,998,Cloudy
2024-04-02,33.4,39,7.8,1022,Sunny
2024-04-03,16.8,66,5.7,1043,Cloudy
2024-04-04,21.5,85,0.1,1026,Partly Cloudy
2024-04-05,15.1,91,3.4,1007,Overcast
2024-04-06,23.9,59,13.1,996,Overcast
2024-04-07,12.6,67,5.0,1021,Sunny
2024-04-08,17.2,89,13.5,1013,Sunny
2024-04-09,15.2,90,0.5,1008,Snowy
2024-04-10,26.9,78,15.1,985,Clear
2024-04-11,-2.2,64,8.3,997,Stormy
2024-04-12,19.2,76,3.1,1036,Sunny
2024-04-13,27.4,34,12.4,998,Clear
2024-04-14,8.6,96,15.5,997,Sunny
2024-04-15,26.8,34,17.7,1041,Clear
2024-04-16,19.6,54,16.2,1008,Sunny
2024-04-17,29.4,36,16.6,1050,Sunny
2024-04-18,35.3,89,14.4,984,Overcast
2024-04-19,26.0,43,6.3,1039,Rainy
2024-04-20,36.0,45,16.0,982,Stormy
2024-04-21,23.3,69,2.7,1034,Rainy
2024-04-22,2.2,34,2.2,1033,Overcast
2024-04-23,26.0,69,13.8,1015,Cloudy
2024-04-24,28.0,51,0.7,1030,Overcast
2024-04-25,10.7,51,18.1,998,Sunny
2024-04-26,2.3,61,11.5,1024,Clear
2024-04-27,17.9,94,3.9,1023,Clear
2024-04-28,-2.9,99,18.9,987,Stormy
2024-04-29,1.7,74,18.0,983,Snowy
2024-04-30,15.3,71,18.4,1042,Sunny
2024-05-01,16.8,78,11.5,1028,Sunny
2024-05-02,-0.9,81,3.8,1039,Partly Cloudy
2024-05-03,33.7,42,1.7,999,Rainy
2024-05-04,19.4,55,16.7,1033,Sunny
2024-05-05,21.7,85,3.8,993,Overcast
2024-05-06,-1.7,34,19.1,1049,Stormy
2024-05-07,7.2,77,10.5,1040,Partly Cloudy
2024-05-08,33.7,43,10.0,1007,Partly Cloudy
2024-05-09,39.8,53,9.6,988,Stormy
2024-05-10,2.9,46,4.4,1003,Cloudy
2024-05-11,18.2,92,18.3,1007,Rainy
2024-05-12,7.9,62,15.6,994,Rainy
2024-05-13,31.1,58,3.0,1037,Cloudy
2024-05-14,17.6,80,15.2,1040,Sunny
2024-05-15,31.0,82,17.3,1024,Snowy
2024-05-16,2.5,74,15.4,1048,Partly Cloudy
2024-05-17,22.0,69,4.5,991,Sunny
2024-05-18,5.4,32,12.3,1023,Cloudy
2024-05-19,25.7,30,15.0,990,Cloudy
2024-05-20,27.2,59,17.4,1048,Rainy
2024-05-21,-2.4,44,1.5,982,Snowy
2024-05-22,-4.1,90,7.9,1000,Sunny
2024-05-23,14.7,96,2.1,1016,Stormy
2024-05-24,36.7,74,11.4,986,Overcast
2024-05-25,12.4,58,16.5,993,Snowy
2024-05-26,28.6,62,15.1,988,Overcast
2024-05-27,16.1,92,3.6,995,Clear
2024-05-28,22.4,83,9.9,1000,Snowy
2024-05-29,39.6,41,2.1,988,Sunny
2024-05-30,23.9,82,7.9,1006,Stormy
2024-05-31,-0.8,63,17.3,1049,Rainy
2024-06-01,20.2,56,10.8,1006,Partly Cloudy
2024-06-02,13.1,41,6.5,980,Partly Cloudy
2024-06-03,13.4,62,11.5,984,Snowy
2024-06-04,13.8,81,0.4,1015,Cloudy
2024-06-05,5.6,30,17.0,1001,Sunny
2024-06-06,-4.0,89,18.4,1023,Overcast
2024-06-07,39.4,93,19.9,1046,Cloudy
2024-06-08,17.0,53,10.9,986,Cloudy
2024-06-09,25.3,81,9.9,1009,Stormy
2024-06-10,25.6,87,15.6,1014,Snowy
2024-06-11,4.0,88,18.1,999,Clear
2024-06-12,27.5,100,6.6,1033,Snowy
2024-06-13,36.3,70,9.1,991,Sunny
2024-06-14,-2.4,76,12.8,1026,Snowy
2024-06-15,19.5,97,0.6,1019,Overcast
2024-06-16,-0.0,77,1.1,1040,Clear
2024-06-17,5.0,84,19.2,1010,Partly Cloudy
2024-06-18,25.9,97,5.5,1018,Snowy
2024-06-19,-1.1,62,8.5,1006,Clear
2024-06-20,25.1,58,10.6,990,Snowy
2024-06-21,26.2,33,14.2,1038,Stormy
2024-06-22,22.2,64,14.2,1030,Clear
2024-06-23,26.8,49,9.5,992,Stormy
2024-06-24,30.8,64,1.8,998,Partly Cloudy
2024-06-25,29.7,32,4.4,984,Sunny
2024-06-26,21.3,47,10.9,1014,Overcast
2024-06-27,27.0,41,17.3,1039,Cloudy
2024-06-28,19.2,91,14.7,1026,Cloudy
2024-06-29,3.5,59,5.6,998,Clear
2024-06-30,32.1,85,17.4,988,Rainy
2024-07-01,-1.7,73,16.6,987,Sunny
2024-07-02,28.2,83,3.9,1010,Partly Cloudy
2024-07-03,8.6,44,0.3,1018,Clear
